03_04_23_152953
Step, Error(t), Error(t-1), E_Multiplier, Bx, By, Bz
Step, Error(t), Error(t-1), E_Multiplier, Bx, By, Bz
0,0,0,5,1.05114,0,-0.629129
1,266,-266,4,0.84091,-0.420455,-0.503303
2,259,7,12,2.52273,-1.26136,-1.50991
3,232,27,16,3.36364,-1.68182,-2.01321
4,210,22,20,4.20455,-2.10227,-2.51652
5,181,29,24,5.04546,-2.52273,-3.01982
6,150,31,28,5.88637,-2.94318,-3.52312
7,115,35,30,6.30682,-3.15341,-3.77477
8,97,18,34,7.14773,-3.57387,-4.27808
9,66,31,34,10.6947,-5.34736,-6.40103
10,83,-17,34,-2.65358,1.32679,1.58823
11,267,-184,33,6.9375,-3.46875,-4.15225
11,43,2,33,6.9375,-3.46875,-4.15225
16_05_23_155211
Step, Error(t), Error(t-1), E_Multiplier, Bx, By, Bz
0,0,0,5,-0.730205,0,0.155328
1,229,-229,4,-0.584164,0.292082,0.124263
2,223,6,12,-1.75249,0.876246,0.372788
3,207,16,16,-2.33665,1.16833,0.497051
4,197,10,24,-3.50498,1.75249,0.745577
5,177,20,28,-4.08915,2.04457,0.869839
6,168,9,36,-5.25747,2.62874,1.11837
7,157,11,40,-5.84164,2.92082,1.24263
8,144,13,44,-6.4258,3.2129,1.36689
9,138,6,52,-7.59413,3.79706,1.61542
10,130,8,56,-8.17829,4.08915,1.73968
11,124,6,64,-9.34662,4.67331,1.9882
12,114,10,68,-9.93078,4.96539,2.11247
13,109,5,76,-11.0991,5.54956,2.36099
14,100,9,80,-11.6833,5.84164,2.48526
15,97,3,88,-12.8516,6.4258,2.73378
16,92,5,96,-14.0199,7.00996,2.98231
17,88,4,104,-15.1883,7.59413,3.23083
18,83,5,108,-15.7724,7.88621,3.3551
16_05_23_160032
